ds,y
2018/7/24,84.699997
2018/7/25,84.75
2018/7/26,85
2018/7/27,85.699997
2018/7/30,85.550003
2018/7/31,85.550003
2018/8/1,86.150002
2018/8/2,84.849998
2018/8/3,85.550003
2018/8/6,85.699997
2018/8/7,85.5
2018/8/8,86.150002
2018/8/9,86.150002
2018/8/10,85.699997
2018/8/13,83.949997
2018/8/14,84.550003
2018/8/15,83.75
2018/8/16,83.800003
2018/8/17,83.650002
2018/8/20,83.949997
2018/8/21,84.550003
2018/8/22,84.650002
2018/8/23,85.050003
2018/8/24,84.800003
2018/8/27,85.550003
2018/8/28,86.25
2018/8/29,87.25
2018/8/30,87.550003
2018/8/31,86.949997
2018/9/3,86.449997
2018/9/4,87
2018/9/5,87
2018/9/6,86.5
2018/9/7,86.400002
2018/9/10,86
2018/9/11,85.650002
2018/9/12,85.550003
2018/9/13,84.949997
2018/9/14,86.5
2018/9/17,85.849998
2018/9/18,85.400002
2018/9/19,86.150002
2018/9/20,85.900002
2018/9/21,86.849998
2018/9/25,87.099998
2018/9/26,86.900002
2018/9/27,87.349998
2018/9/28,86.900002
2018/10/1,87.349998
2018/10/2,86.050003
2018/10/3,85.949997
2018/10/4,84.900002
2018/10/5,83.449997
2018/10/8,83
2018/10/9,83.25
2018/10/11,77.400002
2018/10/12,80.050003
2018/10/15,79.199997
2018/10/16,79.300003
2018/10/17,79.400002
2018/10/18,79.150002
2018/10/19,79.300003
2018/10/22,79.199997
2018/10/23,77.75
2018/10/24,77.400002
2018/10/25,75.5
2018/10/26,75.400002
2018/10/29,75.75
2018/10/30,75.949997
2018/10/31,77.550003
2018/11/1,78.400002
2018/11/2,78.650002
2018/11/5,78.25
2018/11/6,78
2018/11/7,78.400002
2018/11/8,78.849998
2018/11/9,77.800003
2018/11/12,78
2018/11/13,77.099998
2018/11/14,77.349998
2018/11/15,77.599998
2018/11/16,76.949997
2018/11/19,76.699997
2018/11/20,76
2018/11/21,76
2018/11/22,75.599998
2018/11/23,75.349998
2018/11/26,76.150002
2018/11/27,76.050003
2018/11/28,76.900002
2018/11/29,77.050003
2018/11/30,76.75
2018/12/3,78.800003
2018/12/4,78.25
2018/12/5,76.650002
2018/12/6,75.099998
2018/12/7,75.449997
2018/12/10,74.449997
2018/12/11,75.050003
2018/12/12,76.199997
2018/12/13,76.300003
2018/12/14,75.349998
2018/12/17,75.949997
2018/12/18,75.300003
2018/12/19,75.900002
2018/12/20,75.050003
2018/12/21,75.199997
2018/12/24,74.699997
2018/12/25,73.75
2018/12/26,73.550003
2018/12/27,75.050003
2018/12/28,75.5
2019/1/2,74.050003
2019/1/3,73.349998
2019/1/4,72.199997
2019/1/7,73.949997
2019/1/8,73.650002
2019/1/9,75
2019/1/10,74.800003
2019/1/11,75.5
2019/1/14,75
2019/1/15,75.650002
2019/1/16,75.550003
2019/1/17,75.550003
2019/1/18,75.949997
2019/1/21,76.5
2019/1/22,74.050003
2019/1/23,73.699997
2019/1/24,74.050003
2019/1/25,75
2019/1/28,75.150002
2019/1/29,74.5
2019/1/30,74.349998
2019/2/11,75.150002
2019/2/12,75.650002
2019/2/13,75.5
2019/2/14,75.25
2019/2/15,75.050003
2019/2/18,75.650002
2019/2/19,75.5
2019/2/20,76.349998
2019/2/21,77.099998
2019/2/22,76.949997
2019/2/25,77.5
2019/2/26,77.699997
2019/2/27,77.650002
2019/3/4,76.949997
2019/3/5,76.75
2019/3/6,76.949997
2019/3/7,76.650002
2019/3/8,76
2019/3/11,76.150002
2019/3/12,77.25
2019/3/13,77.099998
2019/3/14,77.050003
2019/3/15,77.599998
2019/3/18,78.099998
2019/3/19,78.400002
2019/3/20,78.5
2019/3/21,79.150002
2019/3/22,79.349998
2019/3/25,78.150002
2019/3/26,78.650002
2019/3/27,78.5
2019/3/28,78.5
2019/3/29,79.150002
2019/4/1,79.849998
2019/4/2,80.150002
2019/4/3,80.150002
2019/4/8,80.900002
2019/4/9,81.400002
2019/4/10,81.5
2019/4/11,81.150002
2019/4/12,81.099998
2019/4/15,81.849998
2019/4/16,82.099998
2019/4/17,82.75
2019/4/18,82.699997
2019/4/19,82.800003
2019/4/22,82.699997
2019/4/23,83.050003
2019/4/24,83.199997
2019/4/25,83.400002
2019/4/26,82.449997
2019/4/29,82.800003
2019/4/30,82.800003
2019/5/2,83
2019/5/3,83.75
2019/5/6,82.300003
2019/5/7,83.150002
2019/5/8,82.550003
2019/5/9,81.550003
2019/5/10,81.5
2019/5/13,80.150002
2019/5/14,79.650002
2019/5/15,79.75
2019/5/16,79.050003
2019/5/17,78.25
2019/5/20,78.199997
2019/5/21,78.400002
2019/5/22,78.400002
2019/5/23,76.949997
2019/5/24,77.349998
2019/5/27,77.150002
2019/5/28,77.099998
2019/5/29,76.75
2019/5/30,77.400002
2019/5/31,78.449997
2019/6/3,78.550003
2019/6/4,78.050003
2019/6/5,78.300003
2019/6/6,77.699997
2019/6/10,79.050003
2019/6/11,79.400002
